Orthogroup	Arabidopsis_lyrata	Arabidopsis_thaliana	Brassica_oleracea	Brassica_rapa	Capsella_rubella	Capsicum_annuum	Carica_papaya	Cicer_arietinum	Citrus_sinensis	Cucumis_melo	Cucumis_sativus	Eutrema_salsugineum	Fragaria_vesca	Glycine_max	Gossypium_hirsutum	Helianthus_annuus	Jatropha_curcas	Malus_domestica	Manihot_esculenta	Medicago_truncatula	Nicotiana_attenuata	Papaver_somniferum	Phaseolus_vulgaris	Populus_euphratica	Populus_trichocarpa	Prunus_mume	Prunus_persica	Pyrus_x_bretschneideri	Solanum_lycopersicum	Solanum_pennellii	Solanum_tuberosum	Vitis_vinifera	Total
OG0013082	1	1	1	1	1	2	1	1	1	0	0	1	2	1	1	1	1	1	1	1	3	0	1	6	2	1	1	1	1	1	1	1	39
OG0013083	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	2	1	2	1	1	2	1	1	2	1	1	1	1	39
OG0013084	1	2	0	0	1	1	1	2	1	0	0	0	1	4	4	1	1	2	1	1	1	2	1	1	1	1	2	2	1	1	1	1	39
OG0013085	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	2	1	1	2	1	1	1	1	1	2	1	1	1	1	39
OG0013086	1	1	3	2	1	1	1	1	1	0	1	1	1	2	2	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	39
OG0013087	1	1	2	1	1	0	1	3	1	0	1	1	6	4	2	0	1	1	0	2	0	0	1	1	0	1	1	1	1	1	1	2	39
OG0013088	1	2	1	1	1	1	1	1	2	1	1	1	1	2	3	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	39
OG0013089	1	1	1	1	1	1	1	2	2	1	1	1	1	2	3	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	39
OG0013090	1	4	1	2	1	1	1	1	2	1	1	1	1	3	1	1	0	1	1	1	1	2	1	1	1	1	1	0	1	2	1	1	39
OG0013091	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	4	1	1	1	1	1	2	1	2	1	1	1	0	1	1	1	1	39
OG0013092	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	39
OG0013093	1	1	2	2	1	1	1	2	2	1	1	1	1	1	2	1	0	3	1	1	2	2	1	1	1	1	1	1	0	1	1	1	39
OG0013094	1	2	1	1	1	2	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	39
OG0013095	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	2	1	1	3	1	1	1	1	39
OG0013096	1	1	1	2	2	1	1	1	1	1	1	1	1	2	4	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	39
OG0013097	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	1	1	2	1	1	2	5	1	1	1	1	1	1	1	39
OG0013098	1	1	1	1	1	1	2	1	3	1	1	1	1	1	2	2	0	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	39
OG0013099	5	1	1	1	1	0	3	3	1	1	1	1	1	2	2	1	1	1	1	1	1	0	1	1	1	1	4	1	0	0	0	0	39
OG0013100	1	1	1	1	1	0	1	2	1	1	1	1	1	1	4	1	1	2	2	1	1	2	1	3	2	1	1	2	0	0	0	1	39
OG0013101	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	39
OG0013102	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	5	1	2	2	0	1	0	1	1	1	1	39
OG0013103	1	2	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	2	1	1	1	1	1	1	1	1	1	3	1	1	1	1	39
OG0013104	1	2	1	1	1	1	2	1	2	1	1	1	1	3	2	1	1	1	0	1	1	2	1	3	1	1	1	0	1	1	1	1	39
OG0013105	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	3	1	1	1	1	1	0	2	1	1	1	39
OG0013106	5	6	9	10	4	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39
OG0013107	1	1	3	3	1	0	1	1	2	1	1	1	0	1	2	1	1	2	1	1	3	4	1	0	2	0	0	0	1	1	1	1	39
OG0013108	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	1	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	39
OG0013109	1	1	2	1	1	1	1	1	3	1	2	1	1	2	2	1	0	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	39
OG0013110	1	1	1	1	1	1	1	1	2	1	1	1	1	3	2	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	39
OG0013111	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	0	2	1	2	1	2	1	1	1	1	1	2	1	1	2	1	39
OG0013112	1	4	1	2	1	2	0	0	0	0	0	1	0	0	8	0	4	0	2	0	0	2	0	4	3	0	0	0	1	2	1	0	39
OG0013113	1	1	1	1	0	1	0	2	1	1	1	0	1	4	2	1	1	2	1	2	1	2	2	1	1	1	0	3	1	1	1	1	39
OG0013114	1	1	6	3	1	0	5	0	0	4	6	0	1	0	0	1	0	0	0	1	1	5	2	0	0	1	0	0	0	0	0	0	39
OG0013115	1	1	2	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	1	1	2	1	1	0	1	39
